batch_id,model,prompt_type,mean,std,n,ci_low,ci_high
batch_5,llama3,intersectional,0.0010560305824037159,0.0005198586899478006,50.0,0.0009082883774184213,0.0012037727873890104
batch_5,llama3,neutral,0.000931840854464048,0.0003625225445593786,50.0,0.0008288130872539619,0.001034868621674134
batch_5,llama3,single_identity,0.0010454442480112849,0.0010355853184006241,100.0,0.0008399616536608814,0.0012509268423616883
batch_5,mistral,intersectional,0.0011031739530153058,0.0010097619122851338,50.0,0.0008162027927445157,0.001390145113286096
batch_5,mistral,neutral,0.0008510677865705959,0.00025288556929925124,50.0,0.0007791985029755012,0.0009229370701656906
batch_5,mistral,single_identity,0.0009674714645370292,0.0005181734577716032,100.0,0.0008646546086638009,0.0010702883204102575
batch_5,phi3:mini-4k,intersectional,0.001141774342395314,0.0008960027948605976,50.0,0.0008871331655805467,0.0013964155192100814
batch_5,phi3:mini-4k,neutral,0.0009188192011787941,0.0002672331392729366,50.0,0.000842872383313173,0.0009947660190444151
batch_5,phi3:mini-4k,single_identity,0.001111105639138205,0.0011676210738296407,100.0,0.0008794242863750506,0.0013427869919013596
