batch_id,model,prompt_type,mean,std,n,ci_low,ci_high
batch_8,llama3,intersectional,0.0011888370825908613,0.001317060119854264,75.0,0.0008858090694275149,0.0014918650957542077
batch_8,llama3,neutral,0.0009548110608010973,0.0003892408382356008,75.0,0.0008652548772415942,0.0010443672443606004
batch_8,llama3,single_identity,0.001006606882438012,0.0006260147845933863,150.0,0.0009056051560643404,0.0011076086088116835
batch_8,mistral,intersectional,0.0010502042768833078,0.0009025199373090256,75.0,0.0008425532977667856,0.00125785525599983
batch_8,mistral,neutral,0.0008677165419794106,0.0003135846367772453,75.0,0.0007955672695136457,0.0009398658144451755
batch_8,mistral,single_identity,0.000956878922491596,0.0006296385693755889,150.0,0.0008552925317808883,0.0010584653132023037
batch_8,phi3:mini-4k,intersectional,0.0011870164672533174,0.001736097206915054,75.0,0.000787576776278454,0.0015864561582281808
batch_8,phi3:mini-4k,neutral,0.0008574552290761946,0.0001556755534350205,75.0,0.0008216375371239558,0.0008932729210284333
batch_8,phi3:mini-4k,single_identity,0.0009527523237435266,0.0005120861994061309,150.0,0.0008701319264860625,0.0010353727210009908
