batch_id,model,prompt_type,mean_amplification_factor,std,n,ci_low,ci_high
batch_8,llama3,intersectional,0.00023402602178976403,0.001169131322839363,75.0,-3.496666620252673e-05,0.0005030187097820548
batch_8,llama3,single_identity,5.1795821636914675e-05,0.0006395582876870896,150.0,-5.1391024365360745e-05,0.0001549826676391901
batch_8,mistral,intersectional,0.00018248773490389732,0.0008875984081882764,75.0,-2.1730112152320766e-05,0.0003867055819601154
batch_8,mistral,single_identity,8.916238051218534e-05,0.0004771941433154339,150.0,1.2171495510052954e-05,0.00016615326551431772
batch_8,phi3:mini-4k,intersectional,0.00032956123817712263,0.001726414337481478,75.0,-6.765062686789542e-05,0.0007267731032221407
batch_8,phi3:mini-4k,single_identity,9.529709466733198e-05,0.0005019265452415034,150.0,1.4315864144010229e-05,0.00017627832519065374
