batch_id,model,prompt_type,mean_amplification_factor,std,n,ci_low,ci_high
batch_4,llama3,intersectional,0.00040832478436640397,0.00211870011916967,50.0,-0.0001938031272400445,0.0010104526959728525
batch_4,llama3,single_identity,0.00031012797437142604,0.003023076305059927,100.0,-0.00028971595064898804,0.0009099718993918402
batch_4,mistral,intersectional,0.0001066109025851,0.0005044555991398473,50.0,-3.675379242765903e-05,0.00024997559759785905
batch_4,mistral,single_identity,3.0002183048061997e-05,0.0003130779556495314,100.0,-3.2119275626286384e-05,9.212364172241037e-05
batch_4,phi3:mini-4k,intersectional,-0.00011476522660814604,0.001266209324273959,50.0,-0.0004746179349661782,0.0002450874817498861
batch_4,phi3:mini-4k,single_identity,-0.00010714005795307702,0.0013765477785551137,100.0,-0.00038027700163014474,0.00016599688572399067
