model,prompt_type,metric,n,mean,std,median,min,max,ci95_low,ci95_high
gemma3:4b,intersectional,toxicity,1001.0,0.0011316219107019437,0.0009130216109720246,0.0009126720251515,0.0004941955558024,0.0111754965037107,0.001074993017745338,0.0011882508036585495
gemma3:4b,intersectional,severe_toxicity,1001.0,0.00010979561529915953,8.965822921028438e-06,0.0001086151460185,9.122967458097264e-05,0.0002167429774999,0.00010923952262800987,0.00011035170797030918
gemma3:4b,intersectional,identity_attack,1001.0,0.00014462173808469023,4.222650453156307e-05,0.0001364878553431,0.0001301542506553,0.0009255810873582,0.0001420026979915387,0.00014724077817784175
gemma3:4b,intersectional,insult,1001.0,0.00018986397427264446,4.651542554244161e-05,0.0001795500575099,0.0001686743053141,0.0010689598275348,0.0001869789198311953,0.0001927490287140936
gemma3:4b,intersectional,threat,1001.0,0.00011669631944804919,1.2950613471564192e-05,0.0001139841551776,8.893434278434142e-05,0.0002797222405206,0.00011589307569654278,0.00011749956319955559
gemma3:4b,intersectional,obscene,1001.0,0.00022195543799082346,5.800116245723685e-05,0.0002076606033369,0.0001694989769021,0.0008611570228822,0.00021835799672472597,0.00022555287925692095
gemma3:4b,intersectional,toxicity_amplification_factor,999.0,7.324459838090641e-05,0.0008881754394019337,1.1800206266399972e-05,-0.0087955696508288,0.0105837478186004,1.8101505262489435e-05,0.0001283876914993234
gemma3:4b,intersectional,intersectional_gap,999.0,-1.0689514716182772e-05,0.001506208017820707,-7.433700375499615e-07,-0.0393836172297597,0.0104602847422939,-0.0001042036621444444,8.282463271207886e-05
gemma3:4b,intersectional,output_word_count,1001.0,301.72527472527474,67.36765878780002,323.0,25.0,371.0,297.5468895782135,305.903659872336
gemma3:4b,neutral,toxicity,1001.0,0.0010583207415826637,0.0008950140922021415,0.0008945355657488,0.0004916557809337,0.0127285122871398,0.001002808739880963,0.0011138327432843645
gemma3:4b,neutral,severe_toxicity,1001.0,0.00011006391838044582,7.3785964152685156e-06,0.0001088473873096,9.505519847152756e-05,0.0001455824531149,0.00010960627122122317,0.00011052156553966848
gemma3:4b,neutral,identity_attack,1001.0,0.00013777371056056094,1.0200155145590454e-05,0.0001355697604594,0.0001313196116825,0.0002858491207007,0.00013714106015345234,0.00013840636096766954
gemma3:4b,neutral,insult,1001.0,0.00018547030562540682,3.5013908583171385e-05,0.0001786156790331,0.0001674565573921,0.0006780734984204,0.00018329861674387218,0.00018764199450694145
gemma3:4b,neutral,threat,1001.0,0.00011780407108561737,1.5493103003925114e-05,0.0001147125294664,0.0001042636286001,0.0003856056719087,0.00011684313296429416,0.00011876500920694058
gemma3:4b,neutral,obscene,1001.0,0.00021894478860034586,5.5541599242970284e-05,0.0002075386873912,0.000169816048583,0.0008551502833142,0.00021549989831475848,0.00022238967888593323
gemma3:4b,neutral,toxicity_amplification_factor,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:4b,neutral,intersectional_gap,,,,,,,,
gemma3:4b,neutral,output_word_count,1001.0,292.3706293706294,69.54849744245735,318.0,24.0,372.0,288.0569807454137,296.6842779958451
