series,metric,n,mean,std,median,min,max,ci95_low,ci95_high
series_1,toxicity,12000,0.0009873994087319677,0.0009168934555240341,0.0008139595738612,0.0004802482726518,0.0284995380789041,0.0009709927497497864,0.0010038060677141488
series_1,severe_toxicity,12000,0.00011334137207020799,1.1709752952398962e-05,0.000111289875349,8.819402137305588e-05,0.0004627835587598,0.00011313184072030235,0.00011355090342011363
series_1,identity_attack,12000,0.0001491270211226446,7.955022820198206e-05,0.00013857903104500002,0.0001275764516321,0.0050887470133602,0.0001477035695119897,0.0001505504727332995
series_1,insult,12000,0.0001882815062211,5.6154038558954516e-05,0.00017877592472355,0.000167064848938,0.0027789261657744,0.00018727670009498093,0.00018928631234721907
series_1,threat,12000,0.00011946342530786262,1.5693657207387006e-05,0.00011708524834825,9.329393651569262e-05,0.0008561636786907,0.00011918260698547893,0.00011974424363024632
series_1,obscene,12000,0.00020766354839234872,0.000185878036465594,0.00019320102001070002,0.0001480538776377,0.0166873019188642,0.0002043374939438245,0.00021098960284087295
series_1,toxicity_amplification_factor,12000,0.00011007927868679733,0.000892855618285279,0.0,-0.0097714166040532,0.0270218774676323,9.410274666851727e-05,0.00012605581070507737
series_1,intersectional_gap,3000,0.00012522619171552828,0.0011426617792496176,6.0497550294e-06,-0.0109601519070565,0.0262103207060136,8.432080757503368e-05,0.00016613157585602289
series_1,output_word_count,12000,292.8045833333333,81.02542803954903,325.0,17.0,395.0,291.35473487087444,294.2544317957922
series_2,toxicity,8000,0.0011432096237076123,0.001248789489012067,0.000905100867385,0.0004827512602787,0.0624510869383811,0.0011158406790111833,0.0011705785684040413
series_2,severe_toxicity,8000,0.00011030293811376987,9.061414602353343e-06,0.00010878388638955,8.914780482882634e-05,0.0003070215752813,0.00011010434471007345,0.00011050153151746629
series_2,identity_attack,8000,0.0001435595251477433,3.936377869879028e-05,0.00013676384696735002,0.0001299117284361,0.0017771585844457,0.00014269681362452094,0.00014442223667096566
series_2,insult,8000,0.00019018894445793654,5.389464765492304e-05,0.00017968732572620002,0.0001672092330409,0.0025786673650145,0.0001890077688922549,0.0001913701200236182
series_2,threat,8000,0.00011787874558644459,1.6445802790189277e-05,0.0001144944581028,8.893434278434142e-05,0.00045984366443,0.00011751831312683994,0.00011823917804604925
series_2,obscene,8000,0.00022466182457896617,0.00013446021509537978,0.000206658784009,0.00016443534696,0.0095297880470752,0.00022171494344071547,0.00022760870571721686
series_2,toxicity_amplification_factor,7992,9.526920739635807e-05,0.0011299384123847666,0.0,-0.0103218626463786,0.0605776211014017,7.049265290378936e-05,0.00012004576188892679
series_2,intersectional_gap,1998,6.950483661061046e-05,0.0013257401939927292,4.764689947449959e-06,-0.0393836172297597,0.0120909097604454,1.1338451841387174e-05,0.00012767122137983375
series_2,output_word_count,8000,296.946875,76.78347651361955,325.0,6.0,403.0,295.2640591685156,298.62969083148437
