series,batch,metric,n,mean,std,median,min,max,ci95_low,ci95_high
series_1,batch_1,toxicity,900,0.00102460742818135,0.0006419418839893719,0.0008359508065041001,0.0006307076546363,0.007998215034604,0.0009826114559800402,0.00106660340038266
series_1,batch_1,severe_toxicity,900,0.00011110261920996428,9.545656760244027e-06,0.00011075709335265,9.255986515199766e-05,0.0002145454200217,0.0001104781403498918,0.00011172709807003675
series_1,batch_1,identity_attack,900,0.00015515989531796713,7.259667496545883e-05,0.00014030280726724998,0.0001327523641521,0.0010886857053264,0.0001504106056707326,0.00015990918496520165
series_1,batch_1,insult,900,0.00019011620424049303,3.6023858624068394e-05,0.00018034920503844998,0.0001707434566924,0.0005632746615447,0.000187759515881169,0.00019247289259981707
series_1,batch_1,threat,900,0.00011805537600589102,9.186099917146103e-06,0.00011713890489765,0.0001005852027446,0.0002128871419699,0.00011745441942963293,0.00011865633258214911
series_1,batch_1,obscene,900,0.00020121969859848132,4.534789035289131e-05,0.00019024610082845,0.0001702031586319,0.0006419318960979,0.0001982530301349548,0.00020418636706200785
series_1,batch_1,toxicity_amplification_factor,900,0.00012788470233014268,0.000719306380977021,2.5701592675002544e-07,-0.00571196625242,0.0072856869082898,8.082752856854405e-05,0.0001749418760917413
series_1,batch_1,intersectional_gap,225,8.354478942540911e-05,0.0006866295338619928,1.1719821486500664e-06,-0.0036563523462972,0.0040817841654643,-6.6605229509275236e-06,0.00017375010180174577
series_1,batch_1,output_word_count,900,310.6822222222222,36.57203894884773,323.0,147.0,360.0,308.28967179149436,313.07477265295006
series_1,batch_10,toxicity,1980,0.0009319111561952523,0.0005423221848419085,0.0008229390659835,0.0006131407571956,0.0139247067272663,0.0009080089184827911,0.0009558133939077134
series_1,batch_10,severe_toxicity,1980,0.00011041420140749197,5.3151947729272195e-06,0.00011042611367879999,8.819402137305588e-05,0.000161960691912,0.00011017994020169679,0.00011064846261328714
series_1,batch_10,identity_attack,1980,0.00013998111553697955,2.359969236040258e-05,0.0001358419031021,0.0001275764516321,0.000563945621252,0.00013894098575341975,0.00014102124532053934
series_1,batch_10,insult,1980,0.0001822428210656189,2.9428308998199884e-05,0.0001774729971657,0.0001695490791462,0.0010862650815397,0.00018094580158750962,0.00018353984054372816
series_1,batch_10,threat,1980,0.00011441648731678034,6.351603758751292e-06,0.00011387757695039999,9.421109280083328e-05,0.0001816852018237,0.00011413654755561919,0.00011469642707794148
series_1,batch_10,obscene,1980,0.00020795533671085853,5.05153831403663e-05,0.00019891050033029998,0.0001757963618729,0.0012470667716115,0.0002057289282590098,0.00021018174516270727
series_1,batch_10,toxicity_amplification_factor,1980,5.374142771934591e-05,0.0005097618215409537,0.0,-0.0023967234883458,0.0132389941718429,3.1274251240550444e-05,7.620860419814137e-05
series_1,batch_10,intersectional_gap,495,0.00011931547255377404,0.0008263052204796883,4.888133844299994e-06,-0.0012513888650574,0.0127622382715344,4.6344299762117786e-05,0.00019228664534543031
series_1,batch_10,output_word_count,1980,346.8040404040404,28.826272753293654,353.0,133.0,395.0,345.5335549933904,348.0745258146904
series_1,batch_2,toxicity,900,0.0010242187393466533,0.0006625893823918379,0.0008381497464142,0.000638612662442,0.0085954964160919,0.0009808720034850133,0.0010675654752082932
series_1,batch_2,severe_toxicity,900,0.00011102558633456475,7.741024570973473e-06,0.00011097418246205,9.385654266225174e-05,0.0001819962490117,0.00011051916688943996,0.00011153200577968954
series_1,batch_2,identity_attack,900,0.00015252075335911368,4.926414771537385e-05,0.000140418378578,0.0001330595696344,0.0007287001353688,0.00014929788252052804,0.00015574362419769932
series_1,batch_2,insult,900,0.0001897503703851522,3.409680918677727e-05,0.0001799003439373,0.0001696192630333,0.0005290184053592,0.00018751975000272367,0.00019198099076758076
series_1,batch_2,threat,900,0.00011806007988823644,7.894436269716722e-06,0.0001174108729173,0.0001030703715514,0.0001824704522732,0.00011754362421772044,0.00011857653555875244
series_1,batch_2,obscene,900,0.00020142938894822734,4.48917009519989e-05,0.0001903481679619,0.0001718777493806,0.0006258010398596,0.00019849256449064003,0.00020436621340581465
series_1,batch_2,toxicity_amplification_factor,900,0.00011147159242277244,0.0007880593051570796,2.8473732527499918e-06,-0.0077296193921939,0.0045405414421112,5.99165879935735e-05,0.00016302659685197136
series_1,batch_2,intersectional_gap,225,0.00020148445671009334,0.0006121885092003599,3.782071871689984e-05,-0.002069353882689,0.0029089070740156,0.00012105876427735038,0.0002819101491428363
series_1,batch_2,output_word_count,900,309.32666666666665,38.04051993389331,322.0,140.0,359.0,306.8380479030192,311.81528543031413
series_1,batch_3,toxicity,2700,0.0010440773636541975,0.0007928526138111792,0.0008358158811461,0.0006059001316316,0.0169869493693113,0.0010141579228372056,0.0010739968044711893
series_1,batch_3,severe_toxicity,2700,0.00011115520281703753,1.0684646108181047e-05,0.00011106776946685,9.001656871987507e-05,0.0003856251423712,0.00011075200223307582,0.00011155840340099923
series_1,batch_3,identity_attack,2700,0.00015717787009495061,0.0001319401337235447,0.0001402600028086,0.0001320613810094,0.0050887470133602,0.00015219891820204847,0.00016215682198785275
series_1,batch_3,insult,2700,0.00019179172960484466,5.439802461896798e-05,0.00017990462220035,0.0001705282047623,0.0015814752550795,0.00018973894141975571,0.0001938445177899336
series_1,batch_3,threat,2700,0.00011828448135655147,1.0624407771482952e-05,0.000117487314128,9.56643561949022e-05,0.0003668302379082,0.00011788355395340341,0.00011868540875969953
series_1,batch_3,obscene,2700,0.0002021843642028225,5.2341036611939316e-05,0.0001899738272186,0.000166316240211,0.0011404103133827,0.00020020919943709988,0.0002041595289685451
series_1,batch_3,toxicity_amplification_factor,2700,0.0001815895062517646,0.0008011867921260632,0.0,-0.0047025376698001,0.0155362674267963,0.00015135556315464303,0.00021182344934888615
series_1,batch_3,intersectional_gap,675,0.00016041471799662504,0.0010571238383754184,1.787728979250002e-05,-0.0072820493951439,0.0141162946238183,8.052283619780502e-05,0.00024030659979544505
series_1,batch_3,output_word_count,2700,309.9488888888889,36.715800396627266,321.0,142.0,362.0,308.56336502495805,311.3344127528198
