model,metric,n,mean,std,median,min,max,ci95_low,ci95_high
mistral,toxicity,4000,0.0009094047484249545,0.0006774951605784317,0.00078682444291185,0.0004802482726518,0.0150982830673456,0.0008884029851735715,0.0009304065116763376
mistral,severe_toxicity,4000,0.00011444389667298875,1.1988816010525834e-05,0.00011228328366994999,8.819402137305588e-05,0.0003856251423712,0.00011407225375925563,0.00011481553958672187
mistral,identity_attack,4000,0.00015043934358249792,0.00010960008469583001,0.00013877673336535002,0.0001302436576224,0.0050887470133602,0.0001470418358731467,0.00015383685129184913
mistral,insult,4000,0.00018524469298058174,4.517466270440174e-05,0.00017818294145395,0.0001680305867921,0.0015814752550795,0.00018384431755905266,0.0001866450684021108
mistral,threat,4000,0.00012130691769375037,1.2594815303297294e-05,0.0001196949888253,9.651531581766903e-05,0.0004009866970591,0.00012091648932675081,0.00012169734606074993
mistral,obscene,4000,0.00019783429646844908,4.1473595523490975e-05,0.0001902595176943,0.0001560241653351,0.0011404103133827,0.00019654865092431808,0.00019911994201258007
mistral,toxicity_amplification_factor,4000,9.849745636164997e-05,0.0006651408826321772,0.0,-0.00571196625242,0.0143882862757892,7.787866502750911e-05,0.00011911624769579083
mistral,intersectional_gap,1000,0.00013806470137205578,0.0009863827389313526,7.27651058697506e-06,-0.0049031333182938,0.0141162946238183,7.685503058532607e-05,0.0001992743721587855
mistral,output_word_count,4000,283.842,79.40554354757936,316.0,33.0,374.0,281.38049691707045,286.3035030829295
phi3:mini-4k,toxicity,4000,0.000971678563757401,0.0007625581009886612,0.00083747328608295,0.0004837158194277,0.0217241253703832,0.0009480399230197835,0.0009953172044950187
phi3:mini-4k,severe_toxicity,4000,0.00011217756708351404,1.1678206781522653e-05,0.00011017652286675,8.885465649655089e-05,0.0004627835587598,0.00011181555278688521,0.00011253958138014287
phi3:mini-4k,identity_attack,4000,0.00014473155501395466,3.230847797584521e-05,0.00013818673323835002,0.0001296738482778,0.0009598178439773,0.00014373002017659597,0.00014573308985131334
phi3:mini-4k,insult,4000,0.00018747073103072136,5.3474694787525e-05,0.00017980018310475,0.0001690602512098,0.0027789261657744,0.00018581306180263607,0.00018912840025880664
phi3:mini-4k,threat,4000,0.00011769048926902953,1.1675540454754398e-05,0.00011574311793075,9.329393651569262e-05,0.00039585493505,0.00011732855762622141,0.00011805242091183764
phi3:mini-4k,obscene,4000,0.00021268407102974782,0.00031153632851716725,0.00019476086890785,0.0001480538776377,0.0166873019188642,0.00020302671464341362,0.00022234142741608202
phi3:mini-4k,toxicity_amplification_factor,4000,8.284927428757889e-05,0.0007827907027218331,0.0,-0.0082670933334157,0.0212143990211189,5.858344041813608e-05,0.00010711510815702169
phi3:mini-4k,intersectional_gap,1000,3.4881130748542195e-05,0.000826884445731651,2.532804501224992e-06,-0.0105849629617296,0.0144989021646323,-1.643092359330114e-05,8.619318509038553e-05
phi3:mini-4k,output_word_count,4000,288.831,82.71691157716913,324.0,24.0,393.0,286.2668473758748,291.3951526241252
qwen3:8b,toxicity,4000,0.0011676424516844646,0.0011079727428501525,0.000908736459678,0.0004827512602787,0.0212474670261144,0.0011332962561862452,0.001201988647182684
qwen3:8b,severe_toxicity,4000,0.00011073301445498762,9.806516904404151e-06,0.0001088755780074,9.16697026696056e-05,0.0003070215752813,0.00011042902092362256,0.00011103700798635268
qwen3:8b,identity_attack,4000,0.0001460755430270593,4.609304393832438e-05,0.000137551644002,0.0001305563637288,0.0017771585844457,0.00014464669858261811,0.0001475043874715005
qwen3:8b,insult,4000,0.00019191511414096114,5.091851118553256e-05,0.0001803852283046,0.0001682362781139,0.0012288315920159,0.00019033668439082322,0.00019349354389109905
qwen3:8b,threat,4000,0.00011838318388067369,1.7712355448435235e-05,0.000114742128062,9.590366971679032e-05,0.00045984366443,0.0001178341162010835,0.00011893225156026388
qwen3:8b,obscene,4000,0.00022731755365743535,0.00016510495005781308,0.00020508892339415001,0.00016443534696,0.0095297880470752,0.00022219944319036553,0.00023243566412450517
qwen3:8b,toxicity_amplification_factor,3996,0.0001302602086489446,0.0009606632490408792,0.0,-0.0090249262284488,0.0200954703614116,0.00010046556981249858,0.00016005484748539062
qwen3:8b,intersectional_gap,999,0.00014969918793740372,0.0011114843607785924,1.122424146155008e-05,-0.01026340626413,0.0120909097604454,8.069177916763513e-05,0.00021870659670717232
qwen3:8b,output_word_count,4000,295.98275,84.3082316379485,337.0,6.0,403.0,293.36926783211084,298.5962321678892
