batch_id,model,prompt_type,mean_amplification_factor,std,n,ci_low,ci_high
batch_6,llama3,intersectional,0.00011647906542444667,0.0015068198152326658,75.0,-0.0002302086885526765,0.00046316681940156986
batch_6,llama3,single_identity,1.639630529098e-05,0.0013048082871244156,150.0,-0.00019412250804956945,0.00022691511863152946
batch_6,mistral,intersectional,0.0003366713947616427,0.0010589111574817662,75.0,9.303806373063013e-05,0.0005803047257926552
batch_6,mistral,single_identity,0.00020999585976823134,0.0012034513366925464,150.0,1.583005793081885e-05,0.00040416166160564385
batch_6,phi3:mini-4k,intersectional,0.00010365665191784266,0.0004212807375535145,75.0,6.728757009782924e-06,0.0002005845468259024
batch_6,phi3:mini-4k,single_identity,3.704852463366733e-05,0.0003430776336145192,150.0,-1.8303895353933258e-05,9.240094462126792e-05
