batch_id,model,prompt_type,mean,std,n,ci_low,ci_high
batch_1,llama3,intersectional,0.0012065185940203066,0.0008451232069463674,75.0,0.0010120734032362055,0.0014009637848044077
batch_1,llama3,neutral,0.0008711176901123907,0.0002430185438874948,75.0,0.0008152042011182621,0.0009270311791065193
batch_1,llama3,single_identity,0.0011059515213127735,0.0007876684670793199,150.0,0.0009788684604282154,0.0012330345821973316
batch_1,mistral,intersectional,0.0010371526159966532,0.0005781830446083789,75.0,0.000904124778761859,0.0011701804532314474
batch_1,mistral,neutral,0.0008954315609298147,0.0006850195920559394,75.0,0.0007378228665130051,0.0010530402553466244
batch_1,mistral,single_identity,0.0010032680879036079,0.0007584739670706654,150.0,0.0008808952910160982,0.0011256408847911176
batch_1,phi3:mini-4k,intersectional,0.0011251253557080533,0.0006385780210701261,75.0,0.0009782018963628005,0.0012720488150533061
batch_1,phi3:mini-4k,neutral,0.0009236189265114055,0.0004811379117291563,75.0,0.0008129191465613599,0.0010343187064614512
batch_1,phi3:mini-4k,single_identity,0.0010089425882324067,0.00036804873492746925,150.0,0.0009495613107734957,0.0010683238656913176
