batch_id,model,prompt_type,mean_amplification_factor,std,n,ci_low,ci_high
s2_batch_10,gemma3:4b,intersectional,6.351325149372042e-05,0.000619525147402556,142.0,-3.926622148523693e-05,0.00016629272447267777
s2_batch_10,gemma3:4b,single_identity,6.994264795523842e-05,0.0007145693907250203,284.0,-1.3520470408662983e-05,0.00015340576631913983
s2_batch_10,qwen3:8b,intersectional,0.00022373567081161337,0.0008520916788477991,142.0,8.237331603245293e-05,0.0003650980255907738
s2_batch_10,qwen3:8b,single_identity,0.00012486263647229403,0.0007555941276932005,284.0,3.660774767732363e-05,0.00021311752526726444
