batch_id,model,prompt_type,mean_amplification_factor,std,n,ci_low,ci_high
s2_batch_2,gemma3:4b,intersectional,0.00010930029908195332,0.0008007913519274913,75.0,-7.494505819135696e-05,0.00029354565635526363
s2_batch_2,gemma3:4b,single_identity,0.0001198279380332673,0.0008383042439202629,150.0,-1.542473961355174e-05,0.0002550806156800863
s2_batch_2,qwen3:8b,intersectional,0.0005813695420511026,0.002239679540586064,75.0,6.606607862113438e-05,0.0010966730054810707
s2_batch_2,qwen3:8b,single_identity,0.00016851897584274804,0.000836566397137619,150.0,3.3546683786717996e-05,0.00030349126789877806
